The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
RPL8,ENSG00000161016,ribosomal protein L8,0.94,1,0.983
MZT2B,ENSG00000152082,mitotic spindle organizing protein 2B,0.957,0.96,0.972
RPS20,ENSG00000008988,ribosomal protein S20,0.935,0.964,0.977
TMEM219,ENSG00000149932,transmembrane protein 219,0.908,0.986,0.959
HBB,ENSG00000244734,hemoglobin subunit beta,0.982,0.874,0.993
MAZ,ENSG00000103495,MYC associated zinc finger protein,0.928,0.957,0.947
TMSB4X,ENSG00000205542,thymosin beta 4 X-linked,0.878,0.991,0.955
RPL31,ENSG00000071082,ribosomal protein L31,0.913,0.969,0.94
CAMK2N1,ENSG00000162545,calcium/calmodulin dependent protein kinase II inhibitor 1,0.961,0.892,0.967
POLR2I,ENSG00000105258,RNA polymerase II subunit I,0.921,0.922,0.951
LRP3,ENSG00000130881,LDL receptor related protein 3,0.932,0.9,0.953
GABARAP,ENSG00000170296,GABA type A receptor-associated protein,0.897,0.968,0.917
CASKIN1,ENSG00000167971,CASK interacting protein 1,0.955,0.893,0.923
BEST1,ENSG00000167995,bestrophin 1,0.89,0.92,0.955
GAPDH,ENSG00000111640,glyceraldehyde-3-phosphate dehydrogenase,0.823,0.982,0.953
IFITM3,ENSG00000142089,interferon induced transmembrane protein 3,0.925,0.853,0.978
RPS25,ENSG00000118181,ribosomal protein S25,0.894,0.909,0.953
AURKAIP1,ENSG00000175756,aurora kinase A interacting protein 1,0.85,0.97,0.933
PAQR6,ENSG00000160781,progestin and adipoQ receptor family member 6,0.943,0.85,0.958
MRPL54,ENSG00000183617,mitochondrial ribosomal protein L54,0.894,0.908,0.946
ANAPC11,ENSG00000141552,anaphase promoting complex subunit 11,0.863,0.96,0.925
LGALS1,ENSG00000100097,galectin 1,0.933,0.883,0.928
IFI6,ENSG00000126709,interferon alpha inducible protein 6,0.901,0.86,0.979
CCDC85B,ENSG00000175602,coiled-coil domain containing 85B,0.887,0.87,0.98
RPL34,ENSG00000109475,ribosomal protein L34,0.906,0.893,0.935
RPL30,ENSG00000156482,ribosomal protein L30,0.845,0.975,0.911
ARHGDIG,ENSG00000242173,Rho GDP dissociation inhibitor gamma,0.915,0.848,0.957
RPS27A,ENSG00000143947,ribosomal protein S27a,0.87,0.936,0.91
KIF5A,ENSG00000155980,kinesin family member 5A,0.958,0.79,0.965
NUPR1,ENSG00000176046,"nuclear protein 1, transcriptional regulator",0.924,0.801,0.985
HCFC1R1,ENSG00000103145,host cell factor C1 regulator 1,0.853,0.957,0.898
APOC1,ENSG00000130208,apolipoprotein C1,0.948,0.768,0.988
ZNF385A,ENSG00000161642,zinc finger protein 385A,0.931,0.814,0.958
PLA2G5,ENSG00000127472,phospholipase A2 group V,0.952,0.78,0.971
TRAPPC5,ENSG00000181029,trafficking protein particle complex subunit 5,0.832,0.937,0.93
C16orf74,ENSG00000154102,chromosome 16 open reading frame 74,0.949,0.766,0.984
CKB,ENSG00000166165,creatine kinase B,0.751,0.998,0.949
ITPK1,ENSG00000100605,inositol-tetrakisphosphate 1-kinase,0.875,0.943,0.878
ALDOA,ENSG00000149925,"aldolase, fructose-bisphosphate A",0.887,0.91,0.896
DEAF1,ENSG00000177030,DEAF1 transcription factor,0.91,0.89,0.891
COX7A2,ENSG00000112695,cytochrome c oxidase subunit 7A2,0.874,0.917,0.899
OLFM2,ENSG00000105088,olfactomedin 2,0.837,0.905,0.947
BAD,ENSG00000002330,BCL2 associated agonist of cell death,0.85,0.902,0.935
MT2A,ENSG00000125148,metallothionein 2A,0.93,0.76,0.993
USF2,ENSG00000105698,"upstream transcription factor 2, c-fos interacting",0.87,0.865,0.947
CYC1,ENSG00000179091,cytochrome c1,0.847,0.945,0.888
ASPHD1,ENSG00000174939,aspartate beta-hydroxylase domain containing 1,0.913,0.803,0.958
PTMS,ENSG00000159335,parathymosin,0.846,0.896,0.928
S100A16,ENSG00000188643,S100 calcium binding protein A16,0.924,0.773,0.97
PDXP,ENSG00000241360,pyridoxal phosphatase,0.926,0.839,0.901
YJEFN3,ENSG00000250067,YjeF N-terminal domain containing 3,0.848,0.885,0.93
JMJD8,ENSG00000161999,jumonji domain containing 8,0.821,0.943,0.898
TST,ENSG00000128311,thiosulfate sulfurtransferase,0.908,0.769,0.974
PKIG,ENSG00000168734,cAMP-dependent protein kinase inhibitor gamma,0.87,0.849,0.932
MT1X,ENSG00000187193,metallothionein 1X,0.953,0.7,0.996
STUB1,ENSG00000103266,STIP1 homology and U-box containing protein 1,0.874,0.837,0.938
FAM181B,ENSG00000182103,family with sequence similarity 181 member B,0.925,0.783,0.939
IGFBP7,ENSG00000163453,insulin like growth factor binding protein 7,0.813,0.907,0.927
IFI27L2,ENSG00000119632,interferon alpha inducible protein 27 like 2,0.911,0.77,0.964
ZNF428,ENSG00000131116,zinc finger protein 428,0.809,0.97,0.862
RARRES2,ENSG00000106538,retinoic acid receptor responder 2,0.904,0.757,0.978
FUT5,ENSG00000130383,fucosyltransferase 5,0.911,0.789,0.937
RPS24,ENSG00000138326,ribosomal protein S24,0.818,0.95,0.868
NDRG2,ENSG00000165795,NDRG family member 2,0.809,0.852,0.973
C1orf122,ENSG00000197982,chromosome 1 open reading frame 122,0.87,0.85,0.914
MLC1,ENSG00000100427,modulator of VRAC current 1,0.924,0.729,0.979
UBTD1,ENSG00000165886,ubiquitin domain containing 1,0.869,0.812,0.948
CDKN1A,ENSG00000124762,cyclin dependent kinase inhibitor 1A,0.866,0.812,0.949
REEP2,ENSG00000132563,receptor accessory protein 2,0.869,0.924,0.832
KLHDC3,ENSG00000124702,kelch domain containing 3,0.889,0.849,0.886
ISG15,ENSG00000187608,ISG15 ubiquitin like modifier,0.937,0.689,0.996
JTB,ENSG00000143543,jumping translocation breakpoint,0.811,0.94,0.867
RPSA,ENSG00000168028,ribosomal protein SA,0.852,0.858,0.908
BTBD17,ENSG00000204347,BTB domain containing 17,0.962,0.659,0.993
ACBD7,ENSG00000176244,acyl-CoA binding domain containing 7,0.916,0.782,0.913
SOD3,ENSG00000109610,superoxide dismutase 3,0.87,0.808,0.932
TMSB10,ENSG00000034510,thymosin beta 10,0.816,0.8,0.986
FAM107A,ENSG00000168309,family with sequence similarity 107 member A,0.768,0.885,0.948
EMP3,ENSG00000142227,epithelial membrane protein 3,0.79,0.867,0.941
METTL7A,ENSG00000185432,methyltransferase like 7A,0.913,0.73,0.954
MRPS34,ENSG00000074071,mitochondrial ribosomal protein S34,0.808,0.929,0.854
RAMP1,ENSG00000132329,receptor activity modifying protein 1,0.944,0.694,0.953
PRODH,ENSG00000100033,proline dehydrogenase 1,0.814,0.829,0.946
NRSN2,ENSG00000125841,neurensin 2,0.869,0.867,0.841
FPR1,ENSG00000171051,formyl peptide receptor 1,0.896,0.73,0.95
ZNF90,ENSG00000213988,zinc finger protein 90,0.842,0.818,0.914
PIN1,ENSG00000127445,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",0.849,0.835,0.886
CYBA,ENSG00000051523,cytochrome b-245 alpha chain,0.97,0.648,0.952
PHYHD1,ENSG00000175287,phytanoyl-CoA dioxygenase domain containing 1,0.822,0.771,0.974
VAMP5,ENSG00000168899,vesicle associated membrane protein 5,0.89,0.706,0.968
HBA1,ENSG00000206172,hemoglobin subunit alpha 1,0.886,0.706,0.97
RPL5,ENSG00000122406,ribosomal protein L5,0.807,0.907,0.846
CDK2AP1,ENSG00000111328,cyclin dependent kinase 2 associated protein 1,0.806,0.889,0.864
ANKRD9,ENSG00000156381,ankyrin repeat domain 9,0.905,0.72,0.933
TP53INP2,ENSG00000078804,tumor protein p53 inducible nuclear protein 2,0.929,0.679,0.947
CHST7,ENSG00000147119,carbohydrate sulfotransferase 7,0.847,0.83,0.877
PRADC1,ENSG00000135617,protease associated domain containing 1,0.82,0.848,0.886
IFITM2,ENSG00000185201,interferon induced transmembrane protein 2,0.812,0.79,0.946
SLC7A10,ENSG00000130876,solute carrier family 7 member 10,0.889,0.788,0.869
RPS19BP1,ENSG00000187051,ribosomal protein S19 binding protein 1,0.825,0.826,0.895
IRF7,ENSG00000185507,interferon regulatory factor 7,0.832,0.745,0.965
LCAT,ENSG00000213398,lecithin-cholesterol acyltransferase,0.887,0.671,0.98
TNFRSF12A,ENSG00000006327,TNF receptor superfamily member 12A,0.882,0.699,0.954
C1QL1,ENSG00000131094,complement C1q like 1,0.921,0.662,0.951
NME3,ENSG00000103024,NME/NM23 nucleoside diphosphate kinase 3,0.739,0.882,0.913
RNF187,ENSG00000168159,ring finger protein 187,0.864,0.855,0.813
PFN2,ENSG00000070087,profilin 2,0.895,0.864,0.767
ROM1,ENSG00000149489,retinal outer segment membrane protein 1,0.901,0.669,0.955
TSC22D4,ENSG00000166925,TSC22 domain family member 4,0.872,0.687,0.965
SCAMP5,ENSG00000198794,secretory carrier membrane protein 5,0.872,0.833,0.819
PLEKHA4,ENSG00000105559,pleckstrin homology domain containing A4,0.889,0.662,0.968
ITM2C,ENSG00000135916,integral membrane protein 2C,0.736,0.854,0.929
HOPX,ENSG00000171476,HOP homeobox,0.888,0.75,0.88
ALDH2,ENSG00000111275,aldehyde dehydrogenase 2 family member,0.765,0.858,0.893
HBA2,ENSG00000188536,hemoglobin subunit alpha 2,0.861,0.679,0.974
ATXN7L3,ENSG00000087152,ataxin 7 like 3,0.9,0.762,0.851
GFAP,ENSG00000131095,glial fibrillary acidic protein,0.708,0.859,0.945
MARCKSL1,ENSG00000175130,MARCKS like 1,0.75,0.897,0.863
RPS29,ENSG00000213741,ribosomal protein S29,0.907,0.67,0.932
VSTM2L,ENSG00000132821,V-set and transmembrane domain containing 2 like,0.9,0.716,0.892
EIF1,ENSG00000173812,eukaryotic translation initiation factor 1,0.811,0.871,0.826
BAG3,ENSG00000151929,BAG cochaperone 3,0.828,0.718,0.961
MAP4,ENSG00000047849,microtubule associated protein 4,0.833,0.884,0.789
AGTRAP,ENSG00000177674,angiotensin II receptor associated protein,0.807,0.731,0.964
RAB1B,ENSG00000174903,"RAB1B, member RAS oncogene family",0.792,0.902,0.806
ACADS,ENSG00000122971,acyl-CoA dehydrogenase short chain,0.817,0.741,0.942
KLF15,ENSG00000163884,Kruppel like factor 15,0.798,0.749,0.953
GLUD1,ENSG00000148672,glutamate dehydrogenase 1,0.71,0.964,0.823
FBXW5,ENSG00000159069,F-box and WD repeat domain containing 5,0.859,0.776,0.861
DSTN,ENSG00000125868,"destrin, actin depolymerizing factor",0.864,0.836,0.796
FADS2,ENSG00000134824,fatty acid desaturase 2,0.772,0.893,0.829
DNAJC4,ENSG00000110011,DnaJ heat shock protein family (Hsp40) member C4,0.828,0.827,0.839
ICAM2,ENSG00000108622,intercellular adhesion molecule 2,0.815,0.76,0.918
ETFB,ENSG00000105379,electron transfer flavoprotein subunit beta,0.807,0.802,0.882
C7orf50,ENSG00000146540,chromosome 7 open reading frame 50,0.861,0.722,0.908
SAT1,ENSG00000130066,spermidine/spermine N1-acetyltransferase 1,0.783,0.803,0.904
CAPNS1,ENSG00000126247,calpain small subunit 1,0.811,0.899,0.78
MTRNR2L1,ENSG00000256618,MT-RNR2 like 1,0.948,0.578,0.964
MZT2A,ENSG00000173272,mitotic spindle organizing protein 2A,0.837,0.755,0.897
IL32,ENSG00000008517,interleukin 32,0.91,0.62,0.958
RPS27,ENSG00000177954,ribosomal protein S27,0.909,0.643,0.935
COX5A,ENSG00000178741,cytochrome c oxidase subunit 5A,0.89,0.754,0.843
MAPK3,ENSG00000102882,mitogen-activated protein kinase 3,0.839,0.843,0.804
EIF4EBP3,ENSG00000243056,eukaryotic translation initiation factor 4E binding protein 3,0.846,0.737,0.903
HDDC2,ENSG00000111906,HD domain containing 2,0.79,0.855,0.839
RLBP1,ENSG00000140522,retinaldehyde binding protein 1,0.841,0.761,0.882
PSENEN,ENSG00000205155,"presenilin enhancer, gamma-secretase subunit",0.799,0.815,0.869
SLC27A5,ENSG00000083807,solute carrier family 27 member 5,0.888,0.695,0.898
IFI35,ENSG00000068079,interferon induced protein 35,0.892,0.61,0.977
COX7A1,ENSG00000161281,cytochrome c oxidase subunit 7A1,0.868,0.696,0.915
TRIP6,ENSG00000087077,thyroid hormone receptor interactor 6,0.813,0.757,0.908
MT1E,ENSG00000169715,metallothionein 1E,0.818,0.706,0.951
PLTP,ENSG00000100979,phospholipid transfer protein,0.815,0.789,0.871
DHRS3,ENSG00000162496,dehydrogenase/reductase 3,0.736,0.793,0.944
HIPK2,ENSG00000064393,homeodomain interacting protein kinase 2,0.927,0.666,0.879
TIMM8B,ENSG00000150779,translocase of inner mitochondrial membrane 8 homolog B,0.865,0.725,0.88
PPP1R1B,ENSG00000131771,protein phosphatase 1 regulatory inhibitor subunit 1B,0.811,0.706,0.95
PLIN5,ENSG00000214456,perilipin 5,0.801,0.744,0.92
RRAS,ENSG00000126458,RAS related,0.816,0.73,0.918
TNFSF13,ENSG00000161955,TNF superfamily member 13,0.839,0.681,0.944
IMPA2,ENSG00000141401,inositol monophosphatase 2,0.772,0.792,0.899
SDC3,ENSG00000162512,syndecan 3,0.793,0.872,0.797
SLC25A11,ENSG00000108528,solute carrier family 25 member 11,0.741,0.948,0.773
RPLP0,ENSG00000089157,ribosomal protein lateral stalk subunit P0,0.828,0.767,0.867
S1PR1,ENSG00000170989,sphingosine-1-phosphate receptor 1,0.829,0.729,0.902
RAB11B,ENSG00000185236,"RAB11B, member RAS oncogene family",0.756,0.906,0.797
GPR4,ENSG00000177464,G protein-coupled receptor 4,0.823,0.683,0.953
RAB34,ENSG00000109113,"RAB34, member RAS oncogene family",0.8,0.751,0.908
RAB13,ENSG00000143545,"RAB13, member RAS oncogene family",0.864,0.665,0.93
C1QTNF4,ENSG00000172247,C1q and TNF related 4,0.813,0.727,0.918
LDHB,ENSG00000111716,lactate dehydrogenase B,0.84,0.791,0.822
CRIP2,ENSG00000182809,cysteine rich protein 2,0.851,0.734,0.867
NNAT,ENSG00000053438,neuronatin,0.907,0.793,0.752
TP53I13,ENSG00000167543,tumor protein p53 inducible protein 13,0.828,0.682,0.941
TADA3,ENSG00000171148,transcriptional adaptor 3,0.747,0.906,0.798
LGALS3,ENSG00000131981,galectin 3,0.809,0.684,0.957
BBOX1,ENSG00000129151,gamma-butyrobetaine hydroxylase 1,0.803,0.706,0.94
MTRNR2L8,ENSG00000255823,MT-RNR2 like 8,0.913,0.551,0.985
CPLX1,ENSG00000168993,complexin 1,0.91,0.627,0.912
IFI27,ENSG00000165949,interferon alpha inducible protein 27,0.833,0.74,0.874
SMOX,ENSG00000088826,spermine oxidase,0.815,0.788,0.844
TXN2,ENSG00000100348,thioredoxin 2,0.743,0.883,0.82
GLUL,ENSG00000135821,glutamate-ammonia ligase,0.705,0.816,0.924
TUFM,ENSG00000178952,"Tu translation elongation factor, mitochondrial",0.785,0.822,0.837
TBKBP1,ENSG00000198933,TBK1 binding protein 1,0.868,0.75,0.823
MEA1,ENSG00000124733,male-enhanced antigen 1,0.807,0.818,0.816
SLC25A39,ENSG00000013306,solute carrier family 25 member 39,0.781,0.846,0.814
PIPOX,ENSG00000179761,pipecolic acid and sarcosine oxidase,0.784,0.727,0.927
MDFI,ENSG00000112559,MyoD family inhibitor,0.875,0.612,0.951
SDS,ENSG00000135094,serine dehydratase,0.896,0.572,0.969
SH3BP1,ENSG00000100092,SH3 domain binding protein 1,0.842,0.785,0.808
C1orf43,ENSG00000143612,chromosome 1 open reading frame 43,0.832,0.815,0.788
C1orf54,ENSG00000118292,chromosome 1 open reading frame 54,0.83,0.745,0.854
CRABP1,ENSG00000166426,cellular retinoic acid binding protein 1,0.974,0.538,0.916
HES4,ENSG00000188290,hes family bHLH transcription factor 4,0.77,0.719,0.939
SNN,ENSG00000184602,stannin,0.871,0.791,0.765
B2M,ENSG00000166710,beta-2-microglobulin,0.75,0.817,0.859
PRR5,ENSG00000186654,proline rich 5,0.802,0.855,0.767
SORBS3,ENSG00000120896,sorbin and SH3 domain containing 3,0.824,0.733,0.865
CXCL16,ENSG00000161921,C-X-C motif chemokine ligand 16,0.82,0.73,0.872
FAM98C,ENSG00000130244,family with sequence similarity 98 member C,0.865,0.654,0.902
SIGLEC8,ENSG00000105366,sialic acid binding Ig like lectin 8,0.775,0.809,0.834
FXYD6,ENSG00000137726,FXYD domain containing ion transport regulator 6,0.873,0.809,0.736
TMEM141,ENSG00000244187,transmembrane protein 141,0.826,0.7,0.891
GSDMD,ENSG00000104518,gasdermin D,0.67,0.855,0.891
DBNDD1,ENSG00000003249,dysbindin domain containing 1,0.811,0.793,0.811
UNC13C,ENSG00000137766,unc-13 homolog C,0.938,0.626,0.849
DDAH1,ENSG00000153904,dimethylarginine dimethylaminohydrolase 1,0.859,0.813,0.74
BAP1,ENSG00000163930,BRCA1 associated protein 1,0.864,0.71,0.838
AKR7A3,ENSG00000162482,aldo-keto reductase family 7 member A3,0.787,0.716,0.907
OTOS,ENSG00000178602,otospiralin,0.891,0.585,0.934
ACSF2,ENSG00000167107,acyl-CoA synthetase family member 2,0.776,0.702,0.932
AIFM3,ENSG00000183773,apoptosis inducing factor mitochondria associated 3,0.881,0.615,0.913
PDLIM2,ENSG00000120913,PDZ and LIM domain 2,0.774,0.734,0.898
NOSIP,ENSG00000142546,nitric oxide synthase interacting protein,0.733,0.86,0.812
LGR6,ENSG00000133067,leucine rich repeat containing G protein-coupled receptor 6,0.811,0.696,0.898
CD81,ENSG00000110651,CD81 molecule,0.714,0.893,0.794
POLR2J,ENSG00000005075,RNA polymerase II subunit J,0.868,0.625,0.905
SFXN5,ENSG00000144040,sideroflexin 5,0.859,0.633,0.904
CLDN10,ENSG00000134873,claudin 10,0.83,0.69,0.876
SLC25A48,ENSG00000145832,solute carrier family 25 member 48,0.825,0.659,0.91
ZNF771,ENSG00000179965,zinc finger protein 771,0.815,0.759,0.82
DBX2,ENSG00000185610,developing brain homeobox 2,0.849,0.646,0.897
C16orf92,ENSG00000167194,chromosome 16 open reading frame 92,0.928,0.609,0.855
ADORA2B,ENSG00000170425,adenosine A2b receptor,0.768,0.71,0.913
SASH3,ENSG00000122122,SAM and SH3 domain containing 3,0.746,0.829,0.816
CLIC1,ENSG00000213719,chloride intracellular channel 1,0.801,0.703,0.886
CTF1,ENSG00000150281,cardiotrophin 1,0.794,0.767,0.828
APRT,ENSG00000198931,adenine phosphoribosyltransferase,0.756,0.792,0.84
HLA-A,ENSG00000206503,"major histocompatibility complex, class I, A",0.752,0.767,0.869
SLC1A3,ENSG00000079215,solute carrier family 1 member 3,0.772,0.767,0.848
LST1,ENSG00000204482,leukocyte specific transcript 1,0.782,0.759,0.843
FGFRL1,ENSG00000127418,fibroblast growth factor receptor like 1,0.81,0.698,0.875
ADM,ENSG00000148926,adrenomedullin,0.746,0.749,0.887
HSPB6,ENSG00000004776,heat shock protein family B (small) member 6,0.892,0.604,0.886
SLPI,ENSG00000124107,secretory leukocyte peptidase inhibitor,0.784,0.692,0.905
ISOC2,ENSG00000063241,isochorismatase domain containing 2,0.768,0.76,0.853
GPR39,ENSG00000183840,G protein-coupled receptor 39,0.831,0.696,0.85
LRP10,ENSG00000197324,LDL receptor related protein 10,0.74,0.753,0.884
PGLS,ENSG00000130313,6-phosphogluconolactonase,0.782,0.764,0.83
SAT2,ENSG00000141504,spermidine/spermine N1-acetyltransferase family member 2,0.726,0.858,0.791
LRRC4B,ENSG00000131409,leucine rich repeat containing 4B,0.753,0.829,0.792
RIMS3,ENSG00000117016,regulating synaptic membrane exocytosis 3,0.861,0.667,0.845
TMEM100,ENSG00000166292,transmembrane protein 100,0.834,0.602,0.936
DYNLL1,ENSG00000088986,dynein light chain LC8-type 1,0.807,0.797,0.768
IRX3,ENSG00000177508,iroquois homeobox 3,0.827,0.616,0.923
NUDT8,ENSG00000167799,nudix hydrolase 8,0.817,0.645,0.904
UBE2L6,ENSG00000156587,ubiquitin conjugating enzyme E2 L6,0.835,0.696,0.835
